Epoch [1/100], Train Loss: 5.0517, Train Acc: 9.53%, Valid Loss: 3.8599, Valid Acc: 21.41%
Epoch [2/100], Train Loss: 3.4122, Train Acc: 28.48%, Valid Loss: 2.9546, Valid Acc: 35.67%
Epoch [3/100], Train Loss: 2.7855, Train Acc: 38.74%, Valid Loss: 2.6088, Valid Acc: 41.92%
Epoch [4/100], Train Loss: 2.4539, Train Acc: 44.64%, Valid Loss: 2.3243, Valid Acc: 47.41%
Epoch [5/100], Train Loss: 2.2438, Train Acc: 48.44%, Valid Loss: 2.1922, Valid Acc: 49.82%
Epoch [6/100], Train Loss: 2.0952, Train Acc: 51.28%, Valid Loss: 2.0809, Valid Acc: 51.76%
Epoch [7/100], Train Loss: 1.9832, Train Acc: 53.35%, Valid Loss: 2.0149, Valid Acc: 53.20%
Epoch [8/100], Train Loss: 1.8944, Train Acc: 55.10%, Valid Loss: 1.9563, Valid Acc: 54.55%
Epoch [9/100], Train Loss: 1.8235, Train Acc: 56.38%, Valid Loss: 1.9067, Valid Acc: 55.44%
Epoch [10/100], Train Loss: 1.7638, Train Acc: 57.54%, Valid Loss: 1.8767, Valid Acc: 56.21%
Epoch [11/100], Train Loss: 1.7102, Train Acc: 58.59%, Valid Loss: 1.8676, Valid Acc: 56.37%
Epoch [12/100], Train Loss: 1.6649, Train Acc: 59.50%, Valid Loss: 1.8249, Valid Acc: 57.01%
Epoch [13/100], Train Loss: 1.6239, Train Acc: 60.29%, Valid Loss: 1.8119, Valid Acc: 57.37%
Epoch [14/100], Train Loss: 1.5879, Train Acc: 61.00%, Valid Loss: 1.7907, Valid Acc: 57.91%
Epoch [15/100], Train Loss: 1.5553, Train Acc: 61.58%, Valid Loss: 1.7756, Valid Acc: 58.26%
Epoch [16/100], Train Loss: 1.5251, Train Acc: 62.18%, Valid Loss: 1.7601, Valid Acc: 58.71%
Epoch [17/100], Train Loss: 1.4987, Train Acc: 62.74%, Valid Loss: 1.7600, Valid Acc: 58.70%
